claim_id,claim_text,result_file,commit,config,input_hash,value,uncertainty,status,notes
CLM-HW-001,B stave extruded polystyrene 50x5.18x2.0 cm,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,50x5.18x2.0 cm,,DESIGN_SPEC,issue #796 clarification; legacy BC-408/~1 m narrative unresolved
CLM-HW-002,Two 2.0 mm holes and two 1.8 mm Y-11 fibres 2 cm apart,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,docs/stave-geometry.md,5e75d4c9da1bacf7e6df0c4da46641dc66a0ca69970fdc1dfa3ddef535160ecd,2x2.0 mm holes; 2x1.8 mm fibres,,DESIGN_SPEC,fibre grade/lot record still absent
CLM-HW-003,Beam test used one fibre at one end only,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,1 of 4 channels,,DESIGN_SPEC,issues #796/#797
CLM-HW-004,Photosensor model S13360-3050CS,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,S13360-3050CS,,DESIGN_SPEC,operating point not bound
CLM-HW-005,B2/B4/B6/B8 map to G4 layers 0/2/4/6,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,reports/1781091056.1272.7ad60e8d__s12b_detector_map_contract/REPORT.md,fa8dcca46cb73d351bf53710e238d391fd83631cfca928ba6f76d009fb4808fa,B2->0;B4->2;B6->4;B8->6,,SIM_CONFIG,data-matched MC contract; not hardware channel-map drawing
CLM-HW-006,Sample I/II run families per S03e config,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,see hardware_bom.csv,,SIM_CONFIG,verify against hardware run log before metrology claim
CLM-HW-007,Hardware trigger definition for Sample I/II,paper/hardware_bom.csv,chatgpt/paper-draft-20260812,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,5268a45121516290ca1f305b8eb887ae800bc85850a241879aea0eda2b6fff22,UNKNOWN,,UNKNOWN_EXTERNAL,MC uses MC_TRIGGER_PROXY only
CLM-001,Single-stave geometry matches confirmed parameters (50x5.18x2.0 cm; fibres 2 cm apart in 2 mm holes),geant4/single_stave/ + geometry report,d3b2beb,geant4/single_stave/optical,PENDING,,,VALIDATED_CODE,offline geometry-report test green; G4 render pending CCB-796-RUN
CLM-002,Deposited energy vs detected PE response (proton/deuteron),PENDING_out/stave_*.root,PENDING,slurm/points_example.csv,PENDING,,,BLOCKED_COMPUTE,needs LUNARC Geant4 run
CLM-003,Reconstructed deposited-energy resolution and bias vs Edep (held-out optical MC),reports/paper_a09_heldout_edep_reconstruction/result.json,PENDING,scripts/single_stave/paper_a09_heldout_edep_reconstruction.py,ccb_calib_grid SHA-256 manifest,heldout_sigma68=8.9%; median_bias=+10.1%,,MC_MODEL_DEPENDENT,PAPER-A09 #1297; train d70+p100+p140 / held-out d110+p60; nuisance envelope NOT_EVALUATED
CLM-004,Photon collection efficiency and attenuation vs hit position,PENDING,PENDING,PENDING,PENDING,,,BLOCKED_COMPUTE,
CLM-005,Timing resolution after 1/A correction (sigma68/core-sigma/tail),PENDING,PENDING,scripts/real_data_cfd_timing.py,PENDING,,,BLOCKED_COMPUTE,format-limited ~38 ns B4-B6 residual only; #1059 software binding closed (#993 DISTINCT_SCHEMAS on 8x16 raw); intrinsic detector resolution not extracted; fraction scan on authorising schema only; same-sample sigma minimum exploratory (#1062)
CLM-006,Correct DeltaE-E Sample I/II separation (data & MC),PENDING,PENDING,PENDING,PENDING,,,BLOCKED_EXTERNAL,event key (file_id,run,event); CCB-DELTAE-FIX
CLM-007,Stopping-depth closure vs deployed geometry (chi2/ndf),PENDING,PENDING,geant4/configs/krakow.geoconf,PENDING,,,BLOCKED_COMPUTE,do not reuse 11.12 g/cm2 as calibrated
CLM-008,Birks/reflector/PDE/coupling/far-end systematic envelope,PENDING,PENDING,--*-scale scans,PENDING,,,BLOCKED_COMPUTE,run-time systematic knobs staged
